timestamp_ms,adc_raw
74,137
68278,137
68282,240
68286,192
68290,144
68294,135
68298,135
68302,240
68306,194
68310,150
68314,133
68318,130
68322,236
68326,198
68453,134
68457,135
68461,176
68465,198
68469,161
68473,139
68477,131
68481,165
68485,204
68489,161
68493,138
68497,130
68501,160
68505,203
68509,160
68513,142
68517,134
68643,240
68647,193
68651,149
68655,134
68659,130
68663,242
68667,199
68671,144
68675,134
68679,139
68683,241
68687,195
68691,144
68695,139
68699,134
68703,240
68830,164
68834,144
68838,131
68842,185
68846,203
68850,159
68854,144
68858,137
68862,183
68866,199
68870,158
68874,141
68878,134
68882,176
68886,206
68890,160
68894,143
69021,144
69025,239
69029,193
69033,144
69037,136
69041,149
69045,240
69049,195
69053,149
69057,134
69061,154
69065,240
69069,187
69073,147
69077,133
69081,146
69208,197
69212,145
69216,138
69220,133
69224,237
69228,200
69232,144
69236,135
69240,135
69244,239
69248,199
69252,148
69256,134
69260,137
69264,239
69268,203
69272,148
69399,134
69403,163
69407,203
69411,170
69415,143
69419,131
69423,165
69427,208
69431,162
69435,141
69439,131
69443,161
69447,209
69451,167
69455,143
69459,132
69586,243
69590,183
69594,150
69598,133
69602,145
69606,240
69610,206
69614,144
69618,140
69622,144
69626,240
69630,177
69634,146
69638,132
69642,144
69646,240
69650,182
69777,138
69781,136
69785,239
69789,196
69793,150
69797,144
69801,143
69805,238
69809,196
69813,153
69817,141
69821,141
69825,238
69829,197
69833,155
69837,144
69963,147
69967,239
69971,198
69975,148
69979,137
69983,144
69987,240
69991,196
69995,144
69999,139
70003,150
70007,242
70011,191
70015,148
70019,133
70023,144
70027,241
70154,150
70158,137
70162,138
70166,241
70170,199
70174,149
70178,139
70182,131
70186,239
70190,197
70194,148
70198,134
70202,134
70206,238
70210,199
70214,154
70340,134
70344,152
70348,235
70352,192
70356,147
70360,138
70364,144
70368,242
70372,200
70376,144
70380,138
70384,146
70388,235
70392,192
70396,144
70400,138
70527,241
70531,193
70535,145
70539,133
70543,128
70547,242
70551,195
70555,150
70559,135
70563,134
70567,239
70571,202
70575,144
70579,134
70583,137
70587,238
70591,199
70717,142
70721,137
70725,149
70729,224
70733,189
70737,144
70741,132
70745,146
70749,231
70753,190
70757,138
70761,141
70765,147
70769,224
70773,185
70777,141
70904,134
70908,244
70912,196
70916,146
70920,138
70924,139
70928,241
70932,198
70936,146
70940,130
70944,141
70948,250
70952,196
70956,149
70960,144
70964,140
70968,246
71094,178
71098,138
71102,133
71106,150
71110,219
71114,181
71118,143
71122,132
71126,156
71130,224
71134,177
71138,143
71142,132
71146,156
71150,215
71154,178
71281,133
71285,138
71289,245
71293,207
71297,144
71301,134
71305,144
71309,240
71313,199
71317,144
71321,143
71325,142
71329,240
71333,194
71337,146
71341,138
71345,142
71472,199
71476,159
71480,139
71484,133
71488,211
71492,197
71496,159
71500,144
71504,132
71508,205
71512,205
71516,158
71520,142
71524,141
71528,203
71532,196
71659,144
71663,139
71667,149
71671,227
71675,183
71679,146
71683,137
71687,151
71691,228
71695,193
71699,146
71703,136
71707,151
71711,237
71715,192
71719,147
71723,140
71850,244
71854,195
71858,145
71862,144
71866,137
71870,249
71874,195
71878,147
71882,133
71886,137
71890,245
71894,188
71898,150
71902,135
71906,140
71910,246
72037,161
72041,141
72045,142
72049,195
72053,206
72057,159
72061,143
72065,131
72069,194
72073,197
72077,162
72081,139
72085,135
72089,194
72093,203
72097,161
72101,141
72228,145
72232,238
72236,195
72240,149
72244,135
72248,145
72252,239
72256,197
72260,147
72264,135
72268,150
72272,233
72276,200
72280,145
72284,134
72288,147
72414,198
72418,169
72422,144
72426,133
72430,208
72434,195
72438,158
72442,139
72446,134
72450,211
72454,203
72458,160
72462,138
72466,138
72470,204
72474,195
72601,144
72605,142
72609,147
72613,230
72617,183
72621,144
72625,133
72629,151
72633,231
72637,191
72641,144
72645,136
72649,144
72653,231
72657,192
